"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578586340590514","0.07039764359352","0.0677676537585423","0.0133916370593058","0.0646679881070368","0.0347425310683973","0.0419528872293414","0.194032964740246","0.237767734328945","0.354408225771166","0.20264116575592","0.201185938161796","0.185857722708823","0.23233528568503","0.267468534827862","0.272810086726998","1.76562054676272","1.81555932941576","1.15295409721032","1.01704721909975","1.34036469394261","1.14668633122474",
"Africa Eastern and Southern","AFE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.527253575492038","0.547741090115694","0.606253095053606","0.668003243960263","0.747821706287317","0.99854242915085","1.07105291835815","1.05209767421385","1.03885252288581","0.813034104164218","0.952874648052892","0.896062053298372","0.991817845178739","0.772093780959055","0.71423122626403","0.915762579661456","0.822597963610742","0.914032070986151","0.865090460745027","0.733866208406213","0.989048274509588","1.10214551956308","1.15672090678909","1.09882194897937","0.896219390113995","1.05687293187703","0.930298860404073","0.958959203213816","0.681033492361477","0.692478188299987","0.720052471807279","0.799902106857781","0.912228971092599","0.917306443138368","0.983324251589607","0.988224294095673","0.966157304556869","1.05956145904162","1.19324824267361","1.03789193167569","0.989685759575684","1.35603010127099","1.44083925138623","1.48676518240836","1.50452871374093",
"Afghanistan","AFG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.87358506033639","1.15752421242988","2.41915134678451","0.984675734609168","1.08602615943862","1.68817884200763","1.23289847652735","1.74328429863767","3.48349718699431","4.35391777889355","4.36263136932817","4.3829370302392","3.91649604537524","2.0288280727524",
"Africa Western and Central","AFW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.430065355239902","0.479422274646781","0.428088110729508","0.480210851120619","0.226666696438465","0.200646142667882","0.268755888380663","0.282987071768038","0.362129289690286","0.519019829324545","0.531187459281506","0.588057988082792","0.632202742939769","0.598181614374872","0.652402179791759","0.749049159852716","1.56417732815661","1.42399952516983","0.99221615577412","0.89472525362658","1.04346377414204","0.946034861385966","1.59225104748779","1.64438144899921","1.49663255811116","1.35683908974014","1.34926876396856","1.70206823876546","5.39276788838104","4.90570139834184","4.54306518397932","4.02438700523189","4.31615372036155","3.98605524144123","4.05959757161424","3.76221159438926","3.37373875602766","3.25743978252379","4.07028439237595","4.11058315321821","4.62118465426068","4.50958758904091","4.10045432011656","3.72148068227544","4.01102566232518",
"Angola","AGO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683190922557101","","","","","","","","","0","0","0","0.0927098350125306","0.000230927382057149","0.0219977246945622","0.000187095690082471","0.0322795452662395","0.0274640005166924","0.0225663928309607","0.0127434083408153","0.0080016233502695","0.00205616774913769","0.00203006475808284","0.00497116967790612","0.0150190041863511","0.0187393856283829",
"Albania","ALB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268429127376","17.8580021931142","17.2175547869206","13.2963534184062","19.801532657049","12.6769794000821","17.1764074549231","17.8297304636267","16.8711703482753","15.8379965268343","16.1548067697706","16.0170459151736","15.2816567157736","13.7489503937742","14.4828069702933","14.2616102272524","13.3024611134389","12.0402363301909","11.5242861713935","10.0330775681989","10.7423012378312","11.3364406607153","11.010767760015","10.0756815175386","9.62106402112092","9.56257905392494","9.6880793570049","9.41266390332969",
"Andorra","AND","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.668765833339247","1.64012308662853","",
"Arab World","ARB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0597371328369","1.88850240304341","1.95787489276362","1.77505123142822","1.86888352971881","1.88173680241971","1.80440120192125","1.94031666159613","1.95907651338138","2.17005368935496","2.3076367997574","2.30012694272787","2.37951637651807","2.32990441905386","2.43601990820289","2.8484025379658","3.04309927929918",
"United Arab Emirates","ARE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","0.0447636281230963","0.0606477798448147","0.0727632539285346","0.053382925314063","0.0332117597743446","0.026928486758215","0.0404592110347595","0.0305372282577824","0.0288458653625305","0.030601354959947","0.0239923653592762","0.0346569343886547","0.0161582012085703","0.0100780109769259","0.00673110393705629","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131540527110554","0.105778682207302","0.0969166746867399","0.0960152008279335","0.0831331023452092","0.0702344413905104","0.0745674463680268","0.0995468463330137","0.125380829847712","0.168859323682241","0.18709779212539",
